state	12	accept
state	0	start
transition	0	a	0
transition	0	b	0
transition	0	a	1
transition	0	b	2
transition	2	a	1
transition	2	b	4
transition	1	a	1
transition	1	b	3
transition	3	a	5
transition	5	b	3
transition	3	b	4
transition	4	b	4
transition	5	a	7
transition	7	a	7
transition	7	b	9
transition	9	a	7
transition	9	b	11
transition	11	b	11
transition	11	a	12
transition	12	a	12
transition	12	b	12
transition	4	a	6
transition	6	a	6
transition	6	b	8
transition	8	b	4
transition	8	a	10
transition	10	a	12
transition	10	b	4
